hSNCode,itemName,gST,rate
0910.99.12,Fenugreek ssed,5%,476
0910.99.13,Dill seed,5%,353
0910.99.14,Ajwain seed,5%,416
0910.99.15,Cassia torea seed,5%,461
0910.99.21,Cassia torea powder,5%,118
0910.99.22,Cumin powder,5%,468
0910.99.23,Celery powder,5%,302
0910.99.24,Fenugreek powder,5%,96
0910.99.25,Dill powder,5%,262
0910.99.26,Poppy powder,5%,225
0910.99.27,Mustard powder,5%,329
0910.99.31,Cardamom husk,5%,357
1103.00.00,"Ceral groats, meal and pellets, put up in unit container and bearing a registered brand name.",5%,74
1103.11 .00,"Groats and meal, of wheat (put up in unit container and bearing a registered brand name)",5%,300
1103.12.00,"Groats and meal, of oats (put up in unit container and bearing a registered brand name)",5%,180
1103.13.00,Groats and meal of maize (corn) (put up in unit container and bearing a registered brand name),5%,310
1103.14.00,Groats and meal of rice (put up in unit container and bearing a registered brand name),5%,406
1103.19.00,"Groats and meal, of other cereals (cereal groats & meal excluding o f wheat, oats, maize and rice) (put up in unit container and bearing a registered brand name)",5%,262
1103.21.00,"Groats and meal, Pellets of wheat (put up in unit container and bearing a registered brand name)",5%,275
1103.29.00,"Groats and meal, of other cereals (pellets of cereals excluding those of wheat) (put up in unit container and bearing a registered brand name)",5%,250
1104.00.00,"Cereal grains otherwise worked (for example, hulled, rolled, flaked, pearled, sliced or kibbled), except rice of heading 1006; germ of cereals, whole, rolled, flaked or ground [i.e. of oats, maize or other cereals]",5%,494
1104.11.00,Rolled or flaked grains of barley,5%,12
1104.12.00,Rolled or flaked grains of oats,5%,459
1104.19.00,Rolled or flaked grains of other cereals,5%,222
1104.21.00,"Other worked grains, of barley (hulled, pearled, sliced, kibbled)",5%,408
1104.22.00,"Other worked grains, of oats (hulled, pearled, sliced, kibbled)",5%,265
1104.23.00,"Other worked grains, of maize (corn, hulled, pearled, sliced, kibbled)",5%,355
1104.29.00,"Other worked Other worked grains, of other cereals (hulled, pearled, sliced, kibbled)",5%,405
1104.30.00,"Germ of cereals (whole, rolled, flaked or ground",5%,130
1105.00.00,"Meal, powder, flakes, granules and pellets of potatoes",5%,456
1106.00.00,"Meal and powder of the dried leguminous vegetables of heading 0713 (pulses) of sago or of roots of tubers of heading 0714 or of the products of Chapter 8 i.e. of tamarind of singoda, etc",5%,208
1106.30.00,"Meal and powder of fruit, nuts, peel of citrus fruit or melons",5%,312
1107.00.00,"Malt, whether or not roasted",18%,350
1107.10.00,Malt (not roasted),18%,113
1107.20.00,Malt (roasted),18%,466
1108.00.00,"Starches, inulin",12%,471
1108.11.00,Wheat starch,12%,253
1108.12.00,Maize (corn) starch,12%,465
1108.13.00,Potato starch,12%,367
1108.14.00,Cassava (manioc) starch,12%,87
1108.19.00,Starch; inulin - Other,12%,119
1108.19.10,Starch; inulin - Other ; Sago,12%,272
1108.19.90,Starch; inulin - Other ; Other,12%,493
1108.20.00,Inulin,12%,398
1109.00.00,"Wheat gluten, whether or not dried",5%,486
1201.00.00,"Soybeans, whether or not broken: Other than of seed quality",5%,101
1202.00.00,"Ground-nuts, not roasted or otherwise cooked, whether or not shelled or broken - other than of seed quality",5%,48
1202.10.19,Ground-nuts (in shell; not roasted or otherwise cooked) - H.P.S. - other than of seed quality,5%,348
1203.00.00,Copra,5%,450
1204.00.00,"Linseed (Flaxseed), whether or not broken: other than of seed quality",5%,24
1205.00.00,"Rape or colza seeds, whether or not broken: other than of seed quality",5%,126
1206.00.00,"Sunflower seeds, whether or not broken : other than of seed quality",5%,413
1207.00.00,"Other oil seeds and oleginous fruits (i.e. Plam nuts and kernels, cotton seeds, Castor oil seeds, Sesamum seeds, Mustard seeds, Saffower (Carthamus tinctorius) seeds, Melon seeds, Popply seeds, Ajams, Mango kernel, Niger seed, Kokam) whether or not broken: other than of seed quality",5%,418
1207.10.90,Palm nuts and kernels (whether or not broken): other than of seed quality,5%,495
1207.20.90,Cotton seeds: other than of seed quality,5%,274
1207.30.90,Castor seeds: other than of seed quality,5%,376
1207.40.90,Sesamum seeds : Other than of seed quality,5%,213
1207.50.90,Mustard seeds : other than of seed quality,5%,426
1207.60.90,Safflower (Carthamus tinctorius) seeds: other than of seed qulaity,5%,468
1207.91.90,Poppy seeds: other than of seed quality,5%,76
1207.92.90,"Shea nuts (karite nuts, whether or not broken) : other than of seed qulaity",5%,456
1207.99.10,Ajams seeds: other than of seed quality,5%,323
1207.99.20,Mango Kernel: other than of seed quality,5%,428
1207.99.30,Nigar seed: other than of seed quality,5%,154
1207.99.40,Kokam : other than of seed qulaity,5%,3
1208.00.00,"Flour & meal of oil seeds or oleaginous fruits, other than thaose of mustard",5%,106
1208.10.00,Flours and meal of soya beans,5%,296
1208.90.00,"Flour & meal of oil seeds or oleaginous fruits, other than thaose of mustard : other",5%,87
1210.10.00,"Hop cones, dried; whether or not ground,powdered or in the form of pellets; lupulin",5%,61
1211.00.00,"Plants and parts of plants (including seeds and fruits), of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purpose, frozen or dried, whether or not cut, crushed or powdered",5%,123
1211.10.00,"Liquorice roots, frozen or dried, whether or not cut, crushed or powdered",5%,306
1211.20.00,"Ginseng roots , frozen or dried, whether or not cut, crushed or powdered",5%,323
1211.90.11,"Ambrette seeds -frozen or dried, whether or not cut, crushed or powdered",5%,193
1211.90.12,"Nuzvomica seeds -frozen or dried, whether or not cut, crushed or powdered",5%,175
1211.90.13,"Psyllium (isobgul) seeds -frozen or dried, whether or not cut, crushed or powdered",5%,412
1211.90.14,"Neem seeds -frozen or dried, whether or not cut, crushed or powdered",5%,116
1211.90.15,"Jojoba seeds -frozen or dried, whether or not cut, crushed or powdered",5%,76
1211.90.21,"Belladona leaves -frozen or dried, whether or not cut, crushed or powdered",5%,258
1211.90.22,"Senna leaves and pods -frozen or dried, whether or not cut, crushed or powdered",5%,286
1211.90.23,"Neem leaves and pods -frozen or dried, whether or not cut, crushed or powdered",5%,240
1211.90.24,Gymnema Powder,5%,255
1211.90.25,Cubeb Powder,5%,101
1211.90.26,"Pyrethrum -frozen or dried, whether or not cut, crushed or powdered",5%,164
1212.00.00,"Locust beans, seaweeds and other algae, sugar beet and sugar cane, frozen or dried, whether or not ground; fruit stones and kernels and other vegetable products (including unroasted chicory roots of the variety Cichorium intybus sativum) of a kind used primarily for human consumption, not elsewhare specified or included",5%,67
1301.00.00,"Natural gums, resins, gum resins and oleoresins (for example balsams), other than lac and shellac.",5%,23
1301.20.00,Gum arabic,5%,463
1301.90.00,"Other natural gum, resins, gum-resins, balsams",5%,262
1301.90.11,Asian gum,5%,88
1301.90.12,African gum,5%,279
1301.90.13,Asafoetida including compounded asafoetida,5%,79
1301.90.21,Resins: Copal,5%,356
1301.90.22,Resins: Dammar batu,5%,319
1301.90.29,Resins: Other,5%,346
1301.90.31,Gum resins:Myrrh,5%,59
1301.90.32,Gum resins: Oilbanum or frankincense,5%,102
1301.90.33,Gum resins: Mastic gum,5%,152
1301.90.34,Gum resins: Xanthium gum,5%,227
1301.90.39,Gum resins: other,5%,497
1301.90.41,Oleoresins: of seeds,5%,361
1301.90.42,Oleoresins: of fruit,5%,88
1301.90.43,Oleoresins: of leaves,5%,224
1301.90.44,Oleoresins: of spices,5%,493
1302.00.00,Guar meal or guar gum refined split,5%,36
1302.00.00,"Vegetable saps and extracts; pectinates and pectates; agar-agar and other mucilages and thickeners, whether or not modified, derived from vegetable products; other than Guar meal or guar gum refined split",18%,468
1302.11.00,Vegetable saps and extract: Opium,18%,101
1302.12.00,Vegetable Saps and extracts of liquorice,18%,268
1302.13.00,Vegetable Saps and extracts of hops,18%,405
1302.14.00,Saps and extracts of pyrethrum or of the roots containing rotenone,18%,199
1302.19.00,"Vegetable saps and extracts (Ganja, Bhang): other",18%,177
1302.19.11,"Extracts, of belladonna",18%,49
1302.19.12,"Extracts, of cascara sagrada",18%,473
1302.19.13,"Extracts, of nuxvomica",18%,196
1302.19.14,"Extracts, of ginseng (including powder)",18%,331
1302.19.15,"Extracts, of agarose",18%,392
1302.19.16,"Extracts, of neem",18%,87
1302.19.17,"Extracts, of gymnema",18%,179
1302.19.18,"Extracts, of garcinia or gambodge",18%,329
1302.19.19,"Extracts, other",18%,143
1302.19.20,"Extracts, Cashew shell liquid (CNSL), crude",18%,412
1302.19.30,"Extracts, Purified and distilled CNSL (Cardanol)",18%,191
1302.20.00,"Pectic substances, pectinates and pectates",18%,291
1302.31.00,"Mucilages and thickeners, whether or not modifed, derived from vetable products: Agar-agar",18%,262
1302.32.10,"Mucilages and thickeners whetehr or not modified, derived from locust bean, locust bean seeds or guar seeds: Guar meal",5%,361
1302.32.20,"Mucilages and thickeners whetehr or not modified, derived from locust bean, locust bean seeds or guar seeds: Guargum refined split",5%,201
1302.32.30,"Mucilages and thickeners whetehr or not modified, derived from locust bean, locust bean seeds or guar seeds: Guargum treated and pulverised",5%,324
1302.32.40,"Mucilages and thickeners whetehr or not modified, derived from locust bean, locust bean seeds or guar seeds: Kappa carrageenan",5%,292
1302.32.90,"Mucilages and thickeners whetehr or not modified, derived from locust bean, locust bean seeds or guar seeds: other",5%,194
1401.00.00,"Vegetable materials of kind used primarily for plaiting (for esample, bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw, and lime bark).",5%,360
1401.10.00,Bamboos,5%,13
1401.20.00,Rattans,5%,331
1401.90.00,"Other vegetable plaiting materials (reed, rushes, osier, raffia, straw etc)",5%,288
1401.90.10,Canes,5%,42
1401.90.90,Reed,5%,495
1404.00.00,"Vegetable products not elsewhere specified or included such as cotton linters. Cotton linters, Soap nuts, Hard seeds, pips, hulls and nuts, of kind used primarily for carving, coconut shell, unworked, Rudraksha seeds; other than Betel Leaves and Indian Katha",5%,421
1404.10.00,Raw vegetable materials of a kind used in dyeing or tanning,5%,495
1404.20.00,Cotton linters,5%,34
1404.90.00,Other vegetable products,5%,244
1404.90.10,Beedi leaves,5%,398
1404.90.30,"Hard seeds, pips, hulls and nuts, of a kind used primarily for carving",5%,30
1404.90.50,Indian Katha,18%,324
1404.90.60,Coconut shell unworked,5%,26
1404.90.70,Rudraksha seeds,5%,342
1404.90.90,Leaf plates and leaf cups-pressed or stitched and loose and unstiched vistarakulu,5%,89
1501.00.00,"Pig Fats (including lard) and poultry fat, other than that of heading 0209 or 1503",12%,194
1502.00.00,"Fats of bovine animals, sheep or goats other than those of heading 1503",12%,181
1502.00.10,"Mutton tallow: Fats of bovine animals, sheep or goats other than those of heading 1503",12%,388
1502.00.20,"Fats, unrendered (excluding Mutton tallow): Fats of bovine animals, sheep or goats other than those of heading 1503",12%,156
1502.00.10,"Rendered or solvent extraton fats: Fats of bovine animals, sheep or goats other than those of heading 1503",12%,468
1502.00.10,"Other: Fats of bovine animals, sheep or goats other than those of heading 1503",12%,476
1503.00.00,"Lard stearin, lard oil, oleo stearin, oleo-oil and tallow oil, not emulsified or mixed or otherwise prepared.",12%,338
1504.00.00,"Fats & oils and their fractions, of fish or marine mammals, whether or not refined, but not chemically modified",12%,5
1504.10.00,Fish liver oils and their fractions,12%,26
1504.10.10,Cod liver oil : Fish liver oils and their fractions,12%,275
1504.10.91,Squid liver oil : Fish liver oils and their fractions: Other,12%,125
1504.20.00,"Fats and oils and their fractions of fish , other than liver oils",12%,470
1504.20.10,"Fish body oil: Fats and oils and their fractions of fish , other than liver oils",12%,376
1504.20.20,"Fish lipid oil: Fats and oils and their fractions of fish , other than liver oils",12%,130
1504.20.30,"Sperm oil: Fats and oils and their fractions of fish , other than liver oils",12%,410
1504.20.00,Fats and oils and their fractions of fish (other than liver oils),12%,351
1504.30.00,Fats and oils and their fractions of marine mammals,12%,396
1505.00.00,Wool grease & fatty substances derived therefrom (including lanolin),12%,170
1505.10.00,Wool alcohol (including lanolin alcohol),12%,232
1505.20.00,"Wool grease, crude",12%,189
1505.90.00,"Other, wool grease and fatty substances derived therefrom",12%,8
1506.00.00,"Other animal fats & oil and their fraction whether or not refined, but not chemically modified.",12%,321
1506.00.10,"Neats Foot oil and fats from bone or waste: Other animal fats & oil and their fraction whether or not refined, but not chemically modified.",12%,388
1506.00.90,"Other: Other animal fats & oil and their fraction whether or not refined, but not chemically modified.",12%,214
1507.00.00,"Soya-bean oil and its fraction whether or not refined, but not chemically modified.",5%,476
1507.10.00,Soya bean oil (crude oil),5%,448
1507.90.10,Soya bean oil and its fractions (other than crude):,5%,402
1507.90.10,Soyabean oil (Edible oil),5%,428
1507.90.90,Soyabean oil (Vegetable oil),5%,134
1508.00.00,"Ground-nut oil and its fraction whether or not refined, but not chemically modified.",5%,424
1508.10.00,Ground-nut oil (crude oil),5%,211
1508.90.00,Ground-nut oil and its fractions (other than crude oil),5%,122
1508.90.91,Groundnut oil (Edible oil),5%,351
1508.90.99,Groundnut oil (Vegetable oil),5%,481
1509.00.00,"Olive oil & its fractions, whether or not refined, but not chemically modified",5%,426
1509.10.00,Olive oil (crude oil),5%,67
1509.90.00,Olive oil and its fractions (other than virgin),5%,170
1509.90.10,Olive oil (Edible oil),5%,413
1509.90.90,Olive oil (Vegetable oil),5%,321
1510.00.00,"Other oils and thir fractions obtained solely from olives, whether or not refined, but not chemically modified, including blends of these oils or fractions with oils or fractions of heading 1509",5%,247
1511.00.00,"Palm oil & its fractions, whether or not refined, but not chemically modified",5%,90
1511.10.00,Palm oil (crude oil),5%,301
1511.90.00,Palm oil and its fractions (other than crude oil),5%,466
1511.90.10,Refined bleached deodorised palm oil,5%,217
1511.90.20,Refined bleached deodorised palmolein,5%,133
1511.90.90,Palmoil (Vegetable oil),5%,446
1512.00.00,"Sunflower-seed, safflower or cottonseed oil, and fractions thereof, whether or not refined but not chemically modified",5%,233
1512.11.00,"Sunflower-seed, safflower oil (crude oil)",5%,83
1512.19.00,"Sunflower seed oil, safflower oil and their fractions (other than crude oil)",5%,377
1512.19.10,Sunflower oil (Edible oil),5%,63
1512.19.20,Sunflower oil (Vegetable oil),5%,220
1512.19.30,Saffola oil (Edible oil),5%,94
1512.19.40,Suffola oil (Vegetable oil),5%,373
1512.21.00,Cotton-seed oil (crude oil),5%,106
1512.29.00,Cotton seed oil (other than crude oil) and its fractions,5%,470
1512.29.10,Cottonseed oil (Edible oil),5%,17
1512.29.90,Cottonseed oil (Vegetable oil),5%,408
1513.00.00,"Coconut (copra) , palm kernel or babassu oil and fractions thereof, whether or not refined, but not chemically",5%,237
1513.11.00,Coconut (copra) oil (crude oil),5%,206
1513.19.00,Other coconut oil and its fractions,5%,283
1513.21.10,Palm kernel oil (Edible oil),5%,357
1513.21.20,"Palm kernel oil, babassu oil (crude oil)",5%,18
1513.29.20,Babassu oil (Edible),5%,178
1513.29.30,"Palm kernel oil, babassu oil and its fractions (other than crude oil)",5%,296
1514.00.00,"Rape, colza or mustard oil and fractions thereof, whether or not refined, but not chemically modified",5%,425
1514.10.00,"Rape or colza oil, mustard oil (crude oil)",5%,374
1514.19.10,Refined colza oil,5%,72
1514.19.20,Refined rapeseed iuk,5%,448
1514.90.00,"Rape or colza oil, mustard oil and their fractions (not crude oil)",5%,430
1514.99.20,Refined Mustard oil,5%,215
1515.00.00,"Other fixed vegetable fats and oils (including jojoba oil) and their fractions, whether or not refined, but not chemically modified",5%,367
1515.11.00,Linseed oil (crude oil),5%,36
1515.19.00,Linseed oil and its fractions (other than crude oil),5%,328
1515.19.10,Linseed oil (Edible oil),5%,320
1515.19.90,Linseed oil (Vegetable oil),5%,399
1515.21.00,Maize oil (crude oil),5%,210
1515.29.00,Maize oil and its fractions (other than crude oil),5%,68
1515.29.10,Maize (corn) oil (Edible oil),5%,240
1515.29.90,Maize (corn) oil (Vegetable oil),5%,327
1515.30.00,Castor oil and its fractions,5%,45
1515.30.10,Castor oil (Edible oil),5%,485
1515.30.90,Castor oil (Vegetable oil),5%,473
1515.40.00,Tung oil and its fractions,5%,160
1515.50.00,Sesame oil and its fractions,5%,7
1515.50.91,Sesame oil (Edible oil),5%,294
1515.50.99,Sesame oil (Vegetable oil),5%,85
1515.60.00,Jojoba oil and its fractions,5%,424
1515.90.00,Other fixed vegetable fats and oils and their fractions,5%,348
1515.90.10,"Fixed vegetable oils , namely the following: chlu moongra oil, mawra oil, kokam oil, tobacco seed oil sal oil",5%,453
1515.90.20,"Fixed vegetable oils , namely the following: Neem seed oil, karanj oil, silk cotton seed oil, khakhon oil, watermelon oil, kusum oil, rubberseed oil, dhup oil, undi oil, maroti oil, pisa oil, nahar oil",5%,227
1515.90.30,"Fixed vegetable oils , namely the following: Cardomom oil, chillies/capsicum oil, turmeric oil, ajwain seed oil, niger seed oil, garlic oil",5%,57
1515.90.40,"Fixed vegetable oils of ediblegrade namely: Mango kernal oil, kahua oil, rice bran oil",5%,415
1515.90.91,Other edible oils,5%,33
1515.90.99,Other vegetable oils,5%,215
1516.00.00,"Vegetable fats and oils and their fractions partly or wholly hydrogenated, interesterified or elaidinised, whether or not refined, but not further prepared.",5%,83
1516.00.00,"Animal fats and oils and their fractions partly or wholly hydrogenated, interesterified or elaidinised, whether or not refined, but not further prepared.",12%,430
1516.10.00,"Animal fats and oils and their fractions (hydrogenated, interesterified)",12%,445
1516.20.00,Vegetable fats and oils and their fraction,5%,403
1516.20.11,Cottonseed oil (Edible oil),5%,131
1516.20.19,Cottonseed oil (Vegetable oil),5%,479
1516.20.21,Groundnut oil(Edible oil),5%,318
1516.20.29,Groundnut oil (Vegetable oil),5%,27
1516.20.31,Castor oil (Edible oil),5%,396
1516.20.39,Castor oil (Vegetable oil),5%,347
1516.20.91,Other including vanaspati (Edible oil),5%,30
1516.20.99,Other including vanaspati (Vegetable oil),5%,115
1517.00.00,"Margarine, Linoxyn [solidified linseed oil]; edible mixtures or preparations of animal or vegitable fats or oils or of fractions of different fats or oils of the chapter, other than edible fats or oils or their fractions of heading 1516",18%,140
1517.10.00,Margarine (excluding liquid margarine),18%,286
1517.10.10,"Margarine (excluding liquid margarine), of animal origin",18%,383
1517.10.21,"Margarine (excluding liquid margarine), of vegetable origin, edible grade",18%,241
1517.10.21,"Margarine (excluding liquid margarine), of vegetable origin, Linoxyn",18%,429
1517.90.10,Sal fat (processed or refined),18%,463
1517.90.20,Peanut butter,18%,156
1517.90.30,Imitation lard of animal origin,18%,92
1517.90.40,Imitation lard of Vegetable origin,18%,332
1517.90.00,Other edible mixtures or preparations of animal or vegetable fats or oils or of fractions,18%,98
1518.00.00,"Vegetable fats and oils and their fractions, boiled, oxidised, dehydrated, sulphurised, blown, polymerised by heat in vacuum or otherwise chemically modified, excluding those of heading 1516",5%,288
1518.00.00,"Animal fats and oils and their fractions, boiled, oxidised, dehydrated, sulphurised, blown, polymerised by heat in vacuum or otherwise chemically modified, excluding those of heading 1516; inedible mixtures or preparations fo Animal or vegetable fats or oils or of fractions of different fats of oils of this chapter, not elsewhere specified of included.",12%,330
1518.00.11,Linseed oil (Edible oil),5%,403
1518.00.19,Linseed oil (Vegetable oil),5%,216
1518.00.21,Castor oil (Edible oil),5%,206
1518.00.29,Castor oil(Vegetable oil),5%,142
1518.00.31,Other vegetable oil edible grade,5%,371
1518.00.39,Other vegetable oil,5%,499
1518.00.40,"Animal or vegetable fats boiled, oxidised, dehydrated etc.",12%,378
1520.00.00,"Glycerol, crude; glycerol water and glycerol lyes",18%,219
1521.00.00,"Vegetable waxes (other than triglycerides), Beeswax, othe insect waxes and spermaceti, whether or not refined or coloured",18%,73
1521.10.00,Vegetable waxes,18%,417
1521.90.00,"Beeswax, other insect waxes, spermaceti",18%,455
1521.90.10,Bee Wax,18%,59
1521.90.20,Shellac wax,18%,281
1522.00.00,"Degras, residues from the treatment of fatty substances or animal or vegetable waxes",18%,141
1522.00.10,Degras,18%,470
1522.00.20,Soap stocks,18%,131
1522.00.90,"Beeswax, other insect waxes, spermaceti: Other",18%,248
1601.00.00,"Sausages and similar products, of meat, meat offal or blood; food preparations based on these products.",12%,244
1602.00.00,"Other prepared or preserved meat, meat offal or blood",12%,372
1602.10.00,"Homogenised preparations (of meat, offal meat or blood)",12%,393
1602.20.00,"Homogenised preparations (of meat, offal meat or blood) - of liver of any animal",12%,424
1602.31.00,Homogenised preparations: of polultry of heading 0105: of turkeys,12%,289
1602.32.00,Homogenised preparations: of polultry of heading 0105: of fowls of species Gallus domesticus,12%,304
1602.39.00,"Prepared or preserved meat, blood of poultry (excluding turkeys)",12%,41
1602.41.00,Hams and cuts of swine (prepared or preserved),12%,3
1602.42.00,Shoulders and cuts of swine (prepared or preserved),12%,175
1602.49.00,"Prepared or preserved other meat, blood of swine (including mixtures)160250 meat, offal meat, blood of bovine animals (prepared or preserved)",12%,388
1602.90.00,"Meat, offal, blood of other animals (prepared or preserved)",12%,131
1603.00.00,"Extracts and juices of meat, fish or crustaceans, molluscs or other aquatic invertebrates.",12%,125
1604.00.00,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,12%,3
1604.11.00,Salmon (prepared or preserved),12%,427
